category,window,avg_abs_delta
core_treatment,screening_window,0.11194029850746269
core_treatment,1_month,0.9552238805970149
core_treatment,3_months,1.8208955223880596
core_treatment,6_months,2.716417910447761
core_treatment,9_months,3.485074626865672
core_treatment,12_months,4.417910447761194
imaging_diagnostics,screening_window,0.3582089552238806
imaging_diagnostics,1_month,0.17164179104477612
imaging_diagnostics,3_months,0.4925373134328358
imaging_diagnostics,6_months,0.9402985074626866
imaging_diagnostics,9_months,1.291044776119403
imaging_diagnostics,12_months,1.7985074626865671
labs,screening_window,0.26119402985074625
labs,1_month,0.5671641791044776
labs,3_months,1.0223880597014925
labs,6_months,1.6940298507462686
labs,9_months,2.2611940298507465
labs,12_months,2.8507462686567164
clinic_visits,screening_window,0.2835820895522388
clinic_visits,1_month,0.2462686567164179
clinic_visits,3_months,0.5149253731343284
clinic_visits,6_months,0.9626865671641791
clinic_visits,9_months,1.1791044776119404
clinic_visits,12_months,1.507462686567164
